FDID,Value
3183314,Not Encrypted (Deduped)
3183315,Encrypted (Known)
3183316,Not Encrypted (Deduped)
3183317,Encrypted (Known)
3183318,Not Encrypted (Deduped)
3183319,Not Encrypted (Deduped)
3183320,Encrypted (Known)
3183321,Not Encrypted (Deduped)
3183322,Encrypted (Known)
3183323,Encrypted (Known)
3183324,Encrypted (Known)
3183325,Encrypted (Known)
3183326,Not Encrypted (Deduped)
3183327,Encrypted (Known)
3183328,Encrypted (Known)
3183329,Encrypted (Known)
3183330,Encrypted (Known)
3183331,Not Encrypted (Deduped)
3183332,Encrypted (Known)
3183333,Encrypted (Known)
3183334,Encrypted (Known)
3183335,Encrypted (Known)
3183336,Not Encrypted (Deduped)
3183337,Encrypted (Known)
3183338,Not Encrypted (Deduped)
3183339,Not Encrypted (Deduped)
3183340,Encrypted (Known)
3183341,Not Encrypted (Deduped)
3183342,Encrypted (Known)
3183343,Encrypted (Known)
3183344,Encrypted (Known)
3183345,Encrypted (Known)
3183346,Not Encrypted (Deduped)
3183347,Encrypted (Known)
3183348,Encrypted (Known)
3183349,Encrypted (Known)
3183350,Encrypted (Known)
3183351,Not Encrypted (Deduped)
3183352,Encrypted (Known)
3183353,Encrypted (Known)
3183354,Encrypted (Known)
3183355,Encrypted (Known)
3183356,Not Encrypted (Deduped)
3183357,Encrypted (Known)
3183358,Encrypted (Known)
3183359,Encrypted (Known)
3183360,Encrypted (Known)
3183361,Not Encrypted (Deduped)
3183362,Not Encrypted (Deduped)
3183363,Not Encrypted (Deduped)
3183364,Not Encrypted (Deduped)
3183365,Encrypted (Known)
3183366,Not Encrypted (Deduped)
3183367,Not Encrypted (Deduped)
3183368,Encrypted (Known)
3183369,Encrypted (Known)
3183370,Not Encrypted (Deduped)
3183371,Not Encrypted (Deduped)
3183372,Encrypted (Known)
3183373,Encrypted (Known)
3183374,Encrypted (Known)
3183375,Encrypted (Known)
3183376,Not Encrypted (Deduped)
3183377,Not Encrypted (Deduped)
3183378,Encrypted (Known)
3183379,Encrypted (Known)
3183380,Encrypted (Known)
3183381,Not Encrypted (Deduped)
3183382,Encrypted (Known)
3183383,Encrypted (Known)
3183384,Encrypted (Known)
3183385,Encrypted (Known)
3183386,Not Encrypted (Deduped)
3183387,Not Encrypted (Deduped)
3183388,Not Encrypted (Deduped)
3183389,Not Encrypted (Deduped)
3183390,Not Encrypted (Deduped)
3183391,Not Encrypted (Deduped)
3183392,Not Encrypted (Deduped)
3183393,Not Encrypted (Deduped)
3183394,Not Encrypted (Deduped)
3183395,Not Encrypted (Deduped)
3183396,Not Encrypted (Deduped)
3183397,Not Encrypted (Deduped)
3183398,Encrypted (Known)
3183399,Encrypted (Known)
3183400,Encrypted (Known)
3183401,Not Encrypted (Deduped)
3183402,Not Encrypted (Deduped)
3183403,Encrypted (Known)
3183404,Encrypted (Known)
3183405,Not Encrypted (Deduped)
3183406,Not Encrypted (Deduped)
3183407,Not Encrypted (Deduped)
3183408,Encrypted (Known)
3183409,Encrypted (Known)
3183410,Encrypted (Known)
3183411,Not Encrypted (Deduped)
3183412,Not Encrypted (Deduped)
3183413,Not Encrypted (Deduped)
3183414,Not Encrypted (Deduped)
3183415,Not Encrypted (Deduped)
3183416,Not Encrypted (Deduped)
3183417,Encrypted (Known)
3183418,Not Encrypted (Deduped)
3183419,Not Encrypted (Deduped)
3183420,Encrypted (Known)
3183421,Not Encrypted (Deduped)
3183422,Encrypted (Known)
3183423,Not Encrypted (Deduped)
3183424,Not Encrypted (Deduped)
3183425,Encrypted (Known)
3183426,Not Encrypted (Deduped)
3183427,Encrypted (Known)
3183428,Not Encrypted (Deduped)
3183429,Not Encrypted (Deduped)
3183430,Encrypted (Known)
3183431,Not Encrypted (Deduped)
3183432,Encrypted (Known)
3183433,Not Encrypted (Deduped)
3183434,Not Encrypted (Deduped)
3183435,Encrypted (Known)
3183436,Not Encrypted (Deduped)
3183437,Encrypted (Known)
3183438,Not Encrypted (Deduped)
3183439,Not Encrypted (Deduped)
3183440,Encrypted (Known)
3183441,Not Encrypted (Deduped)
3183442,Encrypted (Known)
3183443,Not Encrypted (Deduped)
3183444,Not Encrypted (Deduped)
3183445,Encrypted (Known)
3183446,Not Encrypted (Deduped)
3183447,Encrypted (Known)
3183448,Not Encrypted (Deduped)
3183449,Not Encrypted (Deduped)
3183450,Encrypted (Known)
3183451,Not Encrypted (Deduped)
3183452,Encrypted (Known)
3183453,Not Encrypted (Deduped)
3183454,Not Encrypted (Deduped)
3183455,Encrypted (Known)
3183456,Not Encrypted (Deduped)
3183457,Encrypted (Known)
3183458,Not Encrypted (Deduped)
3183459,Not Encrypted (Deduped)
3183460,Encrypted (Known)
3183461,Not Encrypted (Deduped)
3183462,Encrypted (Known)
3183463,Not Encrypted (Deduped)
3183464,Not Encrypted (Deduped)
3183465,Encrypted (Known)
3183466,Not Encrypted (Deduped)
3183467,Encrypted (Known)
3183468,Not Encrypted (Deduped)
3183469,Not Encrypted (Deduped)
3183470,Encrypted (Known)
3183471,Not Encrypted (Deduped)
3183472,Encrypted (Known)
3183473,Not Encrypted (Deduped)
3183474,Not Encrypted (Deduped)
3183475,Encrypted (Known)
3183476,Not Encrypted (Deduped)
3183477,Encrypted (Known)
3183478,Not Encrypted (Deduped)
3183479,Not Encrypted (Deduped)
3183480,Not Encrypted (Deduped)
3183481,Not Encrypted (Deduped)
3183482,Encrypted (Known)
3183483,Not Encrypted (Deduped)
3183484,Not Encrypted (Deduped)
3183485,Not Encrypted (Deduped)
3183486,Not Encrypted (Deduped)
3183487,Encrypted (Known)
3183488,Not Encrypted (Deduped)
3183489,Not Encrypted (Deduped)
3183490,Not Encrypted (Deduped)
3183491,Not Encrypted (Deduped)
3183492,Encrypted (Known)
3183493,Not Encrypted (Deduped)
3183494,Not Encrypted (Deduped)
3183495,Not Encrypted (Deduped)
3183496,Encrypted (Known)
3183497,Encrypted (Known)
3183498,Not Encrypted (Deduped)
3183499,Not Encrypted (Deduped)
3183500,Encrypted (Known)
3183501,Not Encrypted (Deduped)
3183502,Encrypted (Known)
3183503,Not Encrypted (Deduped)
3183504,Not Encrypted (Deduped)
3183505,Encrypted (Known)
3183506,Not Encrypted (Deduped)
3183507,Encrypted (Known)
3183508,Not Encrypted (Deduped)
3183509,Not Encrypted (Deduped)
3183510,Encrypted (Known)
3183511,Not Encrypted (Deduped)
3183512,Encrypted (Known)
3183513,Not Encrypted (Deduped)
3183514,Not Encrypted (Deduped)
3183515,Encrypted (Known)
3183516,Not Encrypted (Deduped)
3183517,Encrypted (Known)
3183518,Not Encrypted (Deduped)
3183519,Not Encrypted (Deduped)
3183520,Encrypted (Known)
3183521,Not Encrypted (Deduped)
3183522,Encrypted (Known)
3183523,Not Encrypted (Deduped)
3183524,Not Encrypted (Deduped)
3183525,Encrypted (Known)
3183526,Not Encrypted (Deduped)
3183527,Encrypted (Known)
